produto,2013_jan,2013_fev,2013_mar,2013_abr,2013_mai,2013_jun,2013_jul,2013_ago,2013_set,2013_out,2013_nov,2013_dez,2014_jan,2014_fev,2014_mar,2014_abr,2014_mai,2014_jun,2014_jul,2014_ago,2014_set,2014_out,2014_nov,2014_dez,2015_jan,2015_fev,2015_mar,2015_abr,2015_mai,2015_jun,2015_jul,2015_ago,2015_set,2015_out,2015_nov,2015_dez,2016_jan,2016_fev,2016_mar,2016_abr,2016_mai,2016_jun,2016_jul,2016_ago,2016_set,2016_out,2016_nov,2016_dez,2017_jan,2017_fev,2017_mar,2017_abr,2017_mai,2017_jun,2017_jul,2017_ago,2017_set,2017_out,2017_nov,2017_dez,2018_jan,2018_fev,2018_mar,2018_abr,2018_mai,2018_jun,2018_jul,2018_ago,2018_set,2018_out,2018_nov,2018_dez,2019_jan,2019_fev,2019_mar,2019_abr,2019_mai,2019_jun,2019_jul,2019_ago,2019_set,2019_out,2019_nov,2019_dez,2020_jan,2020_fev,2020_mar,2020_abr,2020_mai,2020_jun,2020_jul,2020_ago,2020_set,2020_out,2020_nov,2020_dez,2021_jan,2021_fev,2021_mar,2021_abr,2021_mai,2021_jun,2021_jul,2021_ago,2021_set,2021_out,2021_nov,2021_dez,2022_jan,2022_fev,2022_mar,2022_abr,2022_mai,2022_jun,2022_jul,2022_ago,2022_set,2022_out,2022_nov,2022_dez,2023_jan,2023_fev,2023_mar,2023_abr,2023_mai,2023_jun,2023_jul,2023_ago,2023_set,2023_out,2023_nov,2023_dez,2024_jan,2024_fev,2024_mar,2024_abr,2024_mai,2024_jun,2024_jul,2024_ago,2024_set,2024_out,2024_nov,2024_dez,2025_jan,2025_fev,2025_mar,2025_abr,2025_mai,2025_jun,2025_jul,2025_ago,2025_set,2025_out,2025_nov,2025_dez
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Produção / Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aço Bruto / Crude Steel,2769.437,2574.894,2858.521,2913.622,2999.775,2836.535,2918.241,2976.77,2981.309,2980.32,2727.159,2625.874,2763.104,2621.952,2979.4719999999998,2773.487,2891.6910000000003,2718.4739999999997,2969.4069999999997,2963.3900000000003,2874.88,3052.4,2666.147,2622.63,2995.5930000000003,2666.853,2768.357,2897.342,2983.106,2776.4680000000003,2876.648,2798.6969999999997,2500.8160000000003,2982.512,2547.9959999999996,2463.199,2515.7,2453.0299999999997,2529.2059999999997,2321.756,2612.378,2576.69,2841.267,2960.9700000000003,2788.269,2966.38,2672.537,2404.2039999999997,2868.134,2611.5260000000003,2887.216,2927.012,2952.183,2673.0449999999996,2852.2920000000004,2981.321,2986.492,3095.382,3075.159,2867.874,2913.796,2765.939,3113.1839999999997,2994.53,2724.4719999999998,2969.8239999999996,3086.315,2914.206,3080.824,3223.5190000000002,2911.253,2708.686,3020.806,2746.747,2877.683,2970.006,2826.295,2882.544,2504.754,2536.573,2394.487,2690.47,2656.803,2461.766,2740.451,2772.437,2722.125,1929.293,2255.698,2148.399,2626.427,2759.058,2645.379,2853.744,3017.509,2944.336,3022.874,2867.058,2801.841,3037.1,3125.149,3068.51,3091.223,3203.383,3107.897,2968.449,3133.901,2643.682,2937.003,2721.969,3000.046,2946.67,2985.381,2933.027,2845.561,2889.893,2786.556,2907.374,2636.321,2499.694,2728.997,2468.969,2722.24,2768.181,2789.967,2571.168,2737.343,2760.886,2585.646,2645.469,2722.332,2528.977,2732.632,2775.033,2773.146,2711.574,2576.464,2850.48,3100.107,3005.301,2894.263,3070.396,2781.43,2609.369,2769.952,2675.986,2881.835,2644.864,2705.611,2833.962,2802.571,2870.446,2814.361,2988.408,2799.992,2558.686
Laminados / Rolled Products (*),2051.441,1942.836,2194.384,2211.587,2354.716,2284.417,2252.236,2257.548,2181.567,2309.355,2199.432,2023.608,2026.777,1998.324,2279.064,2210.691,2087.139,1972.757,2100.286,2099.596,2166.998,2192.785,2041.7200000000003,1729.2179999999998,2007.8319999999999,1997.281,2160.704,2049.095,1909.18,1849.641,1925.129,1846.621,1672.3809999999999,1888.953,1844.0010000000002,1520.279,1629.1770000000001,1715.426,1770.338,1650.104,1744.087,1789.824,1929.252,1902.5410000000002,1827.894,1953.0349999999999,1793.637,1415.476,1798.843,1722.313,1962.526,1905.871,1836.3829999999998,1820.0079999999998,1872.955,1963.1480000000001,1881.4950000000001,2125.5860000000002,2009.385,1791.687,1922.323,1861.356,2129.796,2038.392,2026.739,1918.374,1947.124,1906.043,2106.905,2128.201,2053.58,1656.851,1906.685,1865.0859999999998,2060.0969999999998,1941.502,2010.469,1801.0140000000001,1894.3120000000001,1895.4430000000002,1969.295,1886.739,1774.3980000000001,1482.443,2042.982,1898.458,1902.5589999999997,1278.48,1432.067,1549.992,1656.616,1846.3600000000001,1972.024,2176.778,1955.5059999999999,2095.4579999999996,2145.117,2064.048,2082.349,2225.375,2413.377,2229.776,2263.64,2303.741,2171.131,2160.9,1938.687,1756.633,2016.547,1878.169,2132.596,2012.479,1995.1509999999998,1936.7939999999999,2147.631,2110.927,1860.3890000000001,2008.772,1910.813,1423.7669999999998,1837.123,1769.962,1874.0990000000002,1921.1240000000003,1895.671,1621.779,1925.452,1881.5159999999998,1832.5009999999997,1823.862,1814.418,1653.117,2012.813,1872.171,1967.86,1942.408,1896.328,1884.487,2160.762,2100.89,2072.806,2127.079,1952.26,1702.2579999999998,1953.364,1844.726,2042.231,2012.514,2015.341,1990.566,1988.054,1979.6219999999998,1971.489,1997.846,2010.9560000000001,1473.8220000000001
Planos / Flat Products,1202.482,1144.078,1261.646,1233.065,1311.414,1285.362,1251.395,1270.671,1229.652,1321.82,1218.682,1283.216,1140.996,1100.992,1276.136,1269.228,1124.949,1134.225,1208.822,1201.187,1252.248,1247.3,1157.948,1114.696,1225.941,1131.115,1289.701,1182.665,1067.229,1140.268,1135.752,1022.541,1003.582,1056.732,1059.199,1073.604,948.866,973.514,1009.634,855.866,916.127,969.087,1111.316,1072.652,1088.556,1191.252,1110.676,1025.699,1056.034,1028.093,1192.65,1156.664,1102.847,1083.197,1134.952,1209.019,1144.382,1282.848,1201.864,1094.607,1158.266,1087.979,1264.963,1221.747,1291.278,1134.386,1143.202,1087.031,1292.661,1267.632,1232.555,1075.054,1105.847,1029.166,1240.485,1163.309,1212.235,1061.634,1163.343,1087.796,1166.646,1058.362,1015.708,941.227,1225.067,1092.903,1081.677,833.669,753.579,879.43,828.746,997.552,1096.683,1257.043,1072.75,1236.552,1261.494,1210.624,1196.688,1308.472,1427.807,1295.967,1303.499,1329.501,1299.139,1234.9,1106.71,1174.693,1219.33,1086.303,1222.706,1161.401,1106.673,1107.579,1215.735,1223.357,1079.429,1146.835,1116.39,947.098,1070.645,991.941,1018.114,1056.679,1081.573,888.597,1125.298,1117.254,1117.206,981.793,1060.687,1085.923,1202.76,1068.085,1123.282,1108.884,1102.304,1086.826,1250.38,1184.386,1188.127,1195.055,1022.891,1048.78,1135.293,1038.395,1148.143,1168.752,1191.469,1156.325,1152.961,1121.444,1136.821,1113.948,1163.009,980.453
Longos / Long Products,848.959,798.758,932.738,978.522,1043.302,999.055,1000.841,986.877,951.915,987.535,980.75,740.392,885.781,897.332,1002.928,941.463,962.19,838.532,891.464,898.409,914.75,945.485,883.772,614.522,781.891,866.166,871.003,866.43,841.951,709.373,789.377,824.08,668.799,832.221,784.802,446.675,680.311,741.912,760.704,794.238,827.96,820.737,817.936,829.889,739.338,761.783,682.961,389.777,742.809,694.22,769.876,749.207,733.536,736.811,738.003,754.129,737.113,842.738,807.521,697.08,764.057,773.377,864.833,816.645,735.461,783.988,803.922,819.012,814.244,860.569,821.025,581.797,800.838,835.92,819.612,778.193,798.234,739.38,730.969,807.647,802.649,828.377,758.69,541.216,817.915,805.555,820.882,444.811,678.488,670.562,827.87,848.808,875.341,919.735,882.756,858.906,883.623,853.424,885.661,916.903,985.57,933.809,960.141,974.24,871.992,926.0,831.977,581.94,797.217,791.866,909.89,851.078,888.478,829.215,931.896,887.57,780.96,861.937,794.423,476.669,766.478,778.021,855.985,864.445,814.098,733.182,800.154,764.262,715.295,842.069,753.731,567.194,810.053,804.086,844.578,833.524,794.024,797.661,910.382,916.504,884.679,932.024,929.369,653.478,818.071,806.331,894.088,843.762,823.872,834.241,835.093,858.178,834.668,883.898,847.947,493.369
"Semiacabados P/ Vendas /
Semifinished Products for Sale (*)",470.37100000000004,480.793,550.726,459.709,442.191,330.286,478.819,500.976,514.021,457.783,448.41999999999996,498.73,387.886,442.174,457.37300000000005,442.41700000000003,524.344,644.942,612.653,692.87,667.707,747.2629999999999,628.1110000000001,755.085,536.583,582.265,511.486,656.809,849.029,860.537,903.537,900.6669999999999,812.986,812.01,822.526,868.9839999999999,707.5329999999999,615.9259999999999,767.077,678.9200000000001,805.346,706.315,777.035,925.698,803.311,824.806,732.0590000000001,1090.1000000000001,780.288,698.168,848.804,852.862,740.1220000000001,766.441,727.996,872.376,898.2560000000001,964.266,837.178,993.5360000000001,814.566,713.823,847.0749999999999,780.9050000000001,797.997,804.408,921.289,894.393,769.946,905.077,772.453,894.764,737.094,702.625,832.43,787.0129999999999,650.597,846.6070000000001,709.405,604.466,670.175,619.138,784.755,872.904,605.023,711.6410000000001,749.038,599.426,629.6740000000001,712.593,774.854,627.664,456.267,658.083,709.427,616.163,621.826,558.002,699.4639999999999,640.201,797.1750000000001,802.287,682.6809999999999,748.142,695.066,676.971,871.418,867.706,796.741,609.866,682.8520000000001,809.502,619.403,758.6450000000001,510.034,577.883,675.298,677.81,604.6550000000001,752.5500000000001,860.714,785.0390000000001,630.235,774.991,939.5609999999999,954.87,716.3240000000001,824.6270000000001,675.17,851.433,798.8389999999999,826.6709999999999,720.6070000000001,759.028,777.3580000000001,579.0310000000001,697.3789999999999,841.8580000000001,893.8199999999999,805.4350000000001,794.274,751.671,836.171,791.635,643.39,619.545,807.999,509.28,684.887,729.9000000000001,727.038,661.443,779.7330000000001,796.908,856.177,976.9259999999999
Placas / Slabs,394.66,417.568,435.452,386.75,346.131,266.185,367.807,395.244,423.621,387.633,376.777,416.16,365.396,383.793,430.706,425.209,482.619,562.467,575.862,649.126,638.58,710.636,581.743,702.134,477.325,510.87,455.843,556.547,765.073,717.855,752.958,798.391,737.379,768.408,705.174,736.584,556.483,471.859,637.764,573.34,713.708,578.23,676.834,821.081,717.527,708.99,589.33,849.44,705.1,592.944,707.785,713.882,678.988,639.075,647.034,757.221,788.893,799.858,742.096,845.97,684.172,600.494,734.387,682.2,719.444,738.355,846.45,803.256,675.592,825.845,692.651,758.217,646.051,632.475,732.789,711.425,592.036,737.378,605.553,522.745,561.404,551.69,712.789,723.3,582.51,689.522,690.403,570.774,606.988,606.447,701.892,581.795,412.477,592.275,691.755,572.893,597.354,538.74,669.159,585.053,750.017,727.054,612.477,696.604,636.62,596.275,796.275,764.693,738.747,535.777,571.58,727.058,511.484,687.738,484.265,538.738,632.235,631.173,559.748,709.109,778.402,751.964,572.046,725.978,879.718,909.827,682.576,760.778,636.505,784.682,717.703,767.512,646.157,708.214,697.975,540.854,667.3,787.753,839.712,751.104,706.466,706.452,785.899,709.97,608.885,552.968,750.472,487.38,645.29,693.118,689.352,591.183,706.73,759.975,798.235,892.218
"Blocos e Tarugos / Ingots, Blooms and Billets",75.711,63.225,115.274,72.959,96.06,64.101,111.012,105.732,90.4,70.15,71.643,82.57,22.49,58.381,26.667,17.208,41.725,82.475,36.791,43.744,29.127,36.627,46.368,52.951,59.258,71.395,55.643,100.262,83.956,142.682,150.579,102.276,75.607,43.602,117.352,132.4,151.05,144.067,129.313,105.58,91.638,128.085,100.201,104.617,85.784,115.816,142.729,240.66,75.188,105.224,141.019,138.98,61.134,127.366,80.962,115.155,109.363,164.408,95.082,147.566,130.394,113.329,112.688,98.705,78.553,66.053,74.839,91.137,94.354,79.232,79.802,136.547,91.043,70.15,99.641,75.588,58.561,109.229,103.852,81.721,108.771,67.448,71.966,149.604,22.513,22.119,58.635,28.652,22.686,106.146,72.962,45.869,43.79,65.808,17.672,43.27,24.472,19.262,30.305,55.148,47.158,75.233,70.204,51.538,58.446,80.696,75.143,103.013,57.994,74.089,111.272,82.444,107.919,70.907,25.769,39.145,43.063,46.637,44.907,43.441,82.312,33.075,58.189,49.013,59.843,45.043,33.748,63.849,38.665,66.751,81.136,59.159,74.45,50.814,79.383,38.177,30.079,54.105,54.108,54.331,87.808,45.219,50.272,81.665,34.505,66.577,57.527,21.9,39.597,36.782,37.686,70.26,73.003,36.933,57.942,84.708
Ferro-Gusa / Pig Iron,2178.041,1999.501,2157.547,2239.881,2240.067,2123.028,2213.095,2308.4,2244.132,2247.802,2055.209,2193.517,2102.952,1949.064,2238.002,2076.291,2181.888,2203.266,2357.12,2441.311,2418.174,2434.747,2162.414,2451.077,2500.763,2172.337,2278.778,2372.167,2452.68,2343.848,2378.113,2365.971,2212.049,2445.078,2170.263,2292.573,2123.33,1936.566,2097.748,1854.489,2115.0,2149.622,2361.876,2391.591,2296.826,2482.535,2320.969,2214.319,2293.366,2073.46,2375.179,2409.201,2497.984,2285.293,2337.139,2461.266,2441.65,2494.033,2470.478,2432.557,2375.799,2176.177,2448.406,2361.357,2246.431,2379.624,2483.175,2360.514,2535.17,2560.752,2350.187,2440.958,2451.106,2200.532,2355.977,2382.641,2295.396,2277.06,1879.477,1926.313,1906.233,2193.394,2179.277,2232.93,2184.244,2171.414,2095.206,1763.846,1723.938,1687.461,2004.033,2138.598,2003.657,2168.476,2347.576,2355.48,2431.003,2251.568,2179.484,2322.745,2415.616,2383.874,2470.382,2538.154,2483.77,2281.869,2413.162,2338.453,2309.389,2105.566,2282.074,2335.645,2269.757,2296.736,2173.982,2234.425,2174.346,2293.918,2114.857,2222.621,2212.518,2015.438,2155.534,2149.724,2199.877,2049.716,2167.393,2123.295,2156.705,2082.951,2210.101,2195.358,2120.827,2116.854,2235.06,2075.679,2089.617,2251.583,2375.872,2302.415,2221.29,2331.065,2158.243,2229.691,2194.741,2053.654,2242.85,2078.591,2121.155,2239.382,2188.539,2220.661,2172.171,2308.804,2194.812,2231.537
Vendas Internas / Domestic Sales (*),1905.8190000000002,1791.6190000000001,2062.8650000000002,2074.205,2193.013,2123.3329999999996,2095.949,2226.363,2111.765,2140.9469999999997,1940.644,1720.766,1842.849,1873.26,1985.5239999999997,1879.424,1962.5870000000002,1628.668,1848.836,1720.005,1867.21,1912.825,1667.745,1519.386,1677.2500000000002,1565.4309999999998,1933.6860000000001,1549.627,1523.1850000000002,1476.7889999999998,1432.848,1575.806,1488.039,1453.2150000000001,1371.9560000000001,1125.269,1246.131,1292.172,1496.566,1403.563,1390.6039999999998,1508.923,1415.103,1505.2640000000001,1504.012,1409.714,1385.566,1270.348,1264.586,1271.493,1519.005,1232.5269999999998,1432.133,1518.771,1456.869,1577.998,1572.888,1496.794,1469.0799999999997,1435.252,1472.82,1465.818,1635.628,1543.079,1185.649,1817.595,1675.67,1758.747,1708.31,1649.072,1587.955,1419.431,1443.115,1519.6789999999999,1665.496,1516.2820000000002,1556.8480000000002,1578.172,1564.081,1637.925,1612.146,1653.774,1623.963,1427.462,1546.72,1567.1200000000001,1511.75,991.46,1216.707,1571.4470000000001,1761.767,1777.3870000000002,1887.468,1941.8880000000001,1848.7060000000001,1839.565,1938.4180000000001,1883.565,2074.47,1926.9519999999998,2105.8830000000003,2080.256,1899.06,1871.964,1818.833,1677.172,1615.964,1410.371,1485.6380000000001,1563.503,1861.4399999999998,1751.33,1778.6399999999999,1767.435,1741.955,1824.69,1827.849,1703.31,1641.088,1379.2820000000002,1588.215,1469.5359999999998,1822.478,1584.433,1703.964,1639.4319999999998,1613.771,1716.394,1657.803,1650.9160000000002,1626.346,1463.505,1617.7759999999998,1579.8429999999998,1698.2569999999998,1739.4089999999999,1722.294,1841.4689999999998,1911.0100000000002,1959.33,1904.3239999999998,1940.6689999999996,1811.99,1552.897,1659.0330000000001,1666.694,1832.7069999999999,1677.18,1776.8600000000001,1865.689,1856.0720000000001,1825.9400000000003,1889.552,1814.1889999999999,1748.372,1592.2959999999998
Laminados / Rolled Products,1852.8310000000001,1754.21,2006.2250000000004,2010.304,2129.468,2079.9809999999998,2043.6450000000002,2182.214,2054.0409999999997,2085.0969999999998,1895.001,1686.46,1816.143,1842.567,1944.9139999999998,1847.75,1922.9850000000001,1600.819,1813.531,1691.625,1825.645,1865.536,1633.743,1494.297,1651.8690000000001,1542.8899999999999,1898.632,1517.759,1492.4270000000001,1449.8139999999999,1413.675,1556.963,1459.21,1426.217,1337.143,1104.998,1223.693,1265.917,1461.471,1368.6100000000001,1359.4769999999999,1471.127,1374.105,1463.836,1454.176,1372.437,1345.973,1245.149,1241.754,1246.291,1488.3980000000001,1205.869,1393.272,1497.36,1426.965,1540.424,1533.451,1458.124,1426.8379999999997,1405.959,1430.7559999999999,1424.562,1591.5459999999998,1507.704,1168.877,1791.594,1641.567,1715.4740000000002,1648.2559999999999,1612.312,1548.364,1386.8,1404.886,1491.503,1640.893,1486.786,1526.246,1540.0430000000001,1538.126,1615.588,1592.627,1639.5549999999998,1604.529,1409.594,1525.173,1538.104,1484.279,975.364,1195.5,1545.209,1730.304,1750.227,1865.326,1905.911,1810.853,1802.0030000000002,1916.393,1858.179,2040.223,1899.8249999999998,2075.851,2048.828,1859.7069999999999,1834.35,1792.135,1649.709,1588.364,1386.3870000000002,1466.806,1538.993,1826.6589999999999,1723.358,1744.812,1721.858,1722.855,1801.726,1801.607,1674.7069999999999,1609.357,1351.036,1556.762,1440.964,1803.116,1566.185,1665.995,1606.8029999999999,1584.694,1692.402,1635.226,1630.6080000000002,1606.218,1438.623,1591.2889999999998,1544.312,1651.899,1712.713,1698.0140000000001,1813.8449999999998,1878.5130000000001,1935.6129999999998,1873.964,1910.2149999999997,1784.412,1522.096,1635.451,1644.67,1809.484,1656.598,1761.855,1846.9270000000001,1844.4840000000002,1806.6460000000002,1871.149,1785.185,1712.3790000000001,1526.3449999999998
Planos / Flat Products,1088.1460000000002,1019.5310000000001,1141.4550000000002,1137.847,1228.2969999999998,1225.625,1147.7250000000001,1220.747,1183.966,1174.449,1082.22,1031.811,1044.835,1021.66,1106.6909999999998,1072.466,1079.7,894.131,1006.133,894.174,1000.5530000000001,1006.8980000000001,878.0930000000001,850.74,941.8420000000001,878.75,1070.924,821.8,797.745,773.056,721.249,832.615,778.47,774.995,753.575,641.952,678.578,711.0709999999999,833.0110000000001,727.64,754.8489999999999,815.221,781.198,845.085,859.481,837.564,812.7570000000001,744.842,738.831,708.367,890.8580000000001,673.675,824.054,894.3349999999999,832.485,928.534,862.221,824.408,853.2489999999999,910.84,828.287,843.547,967.602,893.172,648.503,1076.421,977.3969999999999,1003.5740000000001,954.211,978.7239999999999,966.094,892.8499999999999,781.6410000000001,890.0,1000.136,869.649,902.256,933.434,877.856,935.818,913.579,956.189,929.722,848.7810000000001,900.561,895.2,881.16,499.961,611.912,825.812,916.575,967.263,1097.182,1094.98,1040.575,1082.852,1140.177,1083.554,1218.463,1091.329,1207.759,1184.134,1031.455,1025.221,1028.027,926.917,893.154,800.687,830.942,896.167,1035.647,956.185,968.63,985.924,972.403,1042.971,1051.066,990.944,926.177,839.128,930.252,830.613,1001.848,913.171,962.699,915.963,916.548,960.544,952.561,952.613,937.863,880.184,963.0219999999999,901.5609999999999,963.59,996.393,991.306,1064.0629999999999,1077.2250000000001,1111.441,1127.9,1116.8229999999999,1047.185,945.7729999999999,972.302,964.907,1073.383,951.609,1015.4269999999999,1091.613,1037.4370000000001,1045.074,1076.8449999999998,1035.642,1028.909,960.81
Longos / Long Products,764.685,734.679,864.7700000000001,872.457,901.171,854.356,895.9200000000001,961.467,870.0749999999999,910.6479999999999,812.781,654.649,771.308,820.907,838.223,775.284,843.2850000000001,706.6880000000001,807.398,797.451,825.092,858.6379999999999,755.65,643.557,710.0269999999999,664.14,827.708,695.959,694.682,676.7579999999999,692.4259999999999,724.348,680.74,651.222,583.568,463.046,545.115,554.846,628.4599999999999,640.97,604.6279999999999,655.906,592.9069999999999,618.751,594.695,534.873,533.216,500.30699999999996,502.923,537.924,597.54,532.194,569.2180000000001,603.025,594.4799999999999,611.89,671.23,633.716,573.5889999999999,495.11899999999997,602.4689999999999,581.015,623.944,614.5319999999999,520.374,715.173,664.1700000000001,711.9,694.045,633.5880000000001,582.27,493.95,623.245,601.5029999999999,640.757,617.1370000000001,623.99,606.609,660.27,679.77,679.048,683.366,674.807,560.813,624.612,642.904,603.119,475.403,583.588,719.397,813.729,782.964,768.144,810.931,770.278,719.151,776.216,774.625,821.76,808.496,868.092,864.694,828.252,809.129,764.108,722.792,695.21,585.7,635.864,642.826,791.012,767.173,776.182,735.934,750.452,758.755,750.541,683.763,683.18,511.908,626.51,610.351,801.268,653.014,703.296,690.84,668.146,731.858,682.665,677.995,668.355,558.439,628.2669999999999,642.751,688.309,716.3199999999999,706.708,749.782,801.288,824.1719999999999,746.064,793.3919999999999,737.2270000000001,576.323,663.149,679.7629999999999,736.101,704.9889999999999,746.428,755.314,807.047,761.572,794.304,749.543,683.47,565.535
